name,nReviews,nDiffReviews,mrrL,mrrF,top1L,top1F,top2L,top2F,top3L,top3F,top5L,top5F,top10L,top10F,cprL,cprF,diff_mrrL,diff_mrrF,diff_top1L,diff_top1F,diff_top2L,diff_top2F,diff_top3L,diff_top3F,diff_top5L,diff_top5F,diff_top10L,diff_top10F,diff_cprL,diff_cprF
openstack/api-wg,28,21,0.11677546415512255,0.1383434602741021,0.0792451761201761,0.10460749496075585,0.10722136659636662,0.13332773305599394,0.16806903342229432,0.14797974770800856,0.17203728739054827,0.17774165246991333,0.1881087159619768,0.2223539845822454,9.571428571428571,15.892857142857142,0.12506582157203272,0.15382314973067218,0.07978734228734229,0.11360376740811522,0.10756512006512005,0.1423736086779565,0.18869534249969033,0.16190962821397606,0.19398634779069565,0.2015921678965157,0.21541491921926706,0.2610752773796252,9.142857142857142,17.571428571428573
openstack/dragonflow,572,560,0.15423445691451612,0.21486107183245687,0.06638986013986017,0.08530219780219796,0.15690559440559457,0.19240412365412374,0.21981143856143853,0.27308386058386064,0.2780587468087468,0.39938464313464317,0.332321151071151,0.5078733766233768,24.9493006993007,92.09615384615384,0.15562975876903357,0.21755551543521587,0.06612599206349211,0.08544359410430853,0.15813492063492082,0.19439413265306138,0.22238874716553284,0.27680272108843545,0.2818842120181406,0.40580994897959183,0.3373093820861677,0.516623441043084,25.37857142857143,93.96428571428571
openstack/openstack-ansible-os_watcher,80,34,0.06508680555555554,0.08748759920634919,0.03020833333333333,0.03958333333333333,0.0625,0.09375,0.09479166666666666,0.13020833333333331,0.12291666666666667,0.16145833333333331,0.13645833333333332,0.17187500000000003,8.175,8.9125,0.11862745098039215,0.17133520074696545,0.06372549019607843,0.0857843137254902,0.11029411764705882,0.18382352941176472,0.15441176470588236,0.23774509803921565,0.21323529411764705,0.30392156862745096,0.24509803921568624,0.32843137254901966,11.176470588235293,12.911764705882353
openstack/python-glareclient,30,24,0.03888888888888888,0.025436507936507934,0.03333333333333333,0.0,0.04444444444444444,0.03333333333333333,0.04444444444444444,0.03333333333333333,0.04444444444444444,0.06111111111111111,0.04444444444444444,0.07777777777777777,12.466666666666667,17.133333333333333,0.048611111111111105,0.03179563492063492,0.041666666666666664,0.0,0.05555555555555555,0.041666666666666664,0.05555555555555555,0.041666666666666664,0.05555555555555555,0.07638888888888888,0.05555555555555555,0.09722222222222221,14.666666666666666,20.5
openstack/tacker,267,257,0.12912563448885234,0.211021332911617,0.06147078057190415,0.0918167766482373,0.09384549075560307,0.23640389988704624,0.13342993876701736,0.2838401403008147,0.2271297782533738,0.34394655490161125,0.3269291361987992,0.43208340764520553,31.910112359550563,69.22097378277154,0.13220445295145358,0.2172867544256877,0.06191711444629729,0.09344388858007532,0.0955515409795565,0.24365696992156166,0.13667623988635658,0.2929389784448153,0.2340219875239331,0.3553841640417517,0.33770458896918054,0.4469504663084432,33.054474708171206,71.8171206225681
openstack/python-glanceclient,119,110,0.07631842296281746,0.056917302506842016,0.05809657196211818,0.03680805655595572,0.07737950252564793,0.05809657196211818,0.08326185546682441,0.05977724423102575,0.09684728964049387,0.06960639328195047,0.12376805794781678,0.09893856093161901,33.142857142857146,75.22689075630252,0.06786568787189648,0.04687720301497757,0.04815295815295815,0.025122655122655123,0.06901358303532218,0.04815295815295815,0.07537721939895853,0.04997113997113997,0.09007418909592822,0.06060449212623127,0.11919756571930483,0.09233656440178177,35.518181818181816,81.04545454545455
openstack/puppet-glance,127,103,0.2807306585631645,0.2615532103950332,0.18419572553430816,0.15741469816272965,0.2923322084739408,0.2914135733033371,0.38288338957630297,0.3464660667416573,0.41438882639670044,0.4015185601799776,0.444450693663292,0.4328927634045744,15.543307086614174,30.322834645669293,0.2911274463189829,0.26748146653885974,0.18747110494683303,0.15444983818770228,0.30624133148404986,0.30510864539990745,0.39361997226074896,0.34871705963938976,0.43246648173832647,0.4165973185390663,0.4695330559408228,0.4552820157189089,18.446601941747574,36.66990291262136
openstack/barbican-specs,3,2,0.03333333333333333,0.08888888888888889,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.19999999999999998,0.03333333333333333,0.19999999999999998,0.03333333333333333,0.19999999999999998,8.333333333333334,10.666666666666666,0.05,0.13333333333333333,0.05,0.05,0.05,0.05,0.05,0.3,0.05,0.3,0.05,0.3,11.0,14.5
openstack/trove,271,263,0.10066553984476889,0.07330092586169501,0.07898919448734945,0.04656648189858523,0.10705291018944145,0.0627690984702055,0.11499394414523557,0.07741063774274104,0.12482525674407588,0.10043374010163669,0.13771269730679317,0.13219814216124176,24.977859778597786,86.50184501845018,0.10246018237490129,0.07426318469652476,0.08012448050470862,0.04671552570792116,0.10904184535363234,0.06341099753647284,0.11722443167310079,0.078497906824903,0.1273547956057461,0.10222133168901221,0.14063424956961068,0.13495195130176113,25.581749049429657,88.97718631178707
openstack/masakari,69,63,0.1044032531765451,0.10445164824823207,0.06421722399983269,0.06338906664993622,0.09952945605119519,0.09688970449840015,0.10763849676893154,0.1022037141602359,0.1571444256226865,0.14603331451157536,0.21679475918606353,0.22379959010393788,16.014492753623188,20.81159420289855,0.10905541485473456,0.10910841898086794,0.07033315009505486,0.06942612061659681,0.1010719439290868,0.09818078746650176,0.10995327423898853,0.10400089328660757,0.1641740534597677,0.1520047412904556,0.22156886323552988,0.2292408209074875,16.682539682539684,21.936507936507937
openstack/python-jenkins,24,22,0.173931159900829,0.1672837000962001,0.13090277777777778,0.09965277777777777,0.16354166666666667,0.15833333333333335,0.16354166666666667,0.22187500000000002,0.21666666666666667,0.24270833333333333,0.3097222222222223,0.30624999999999997,38.666666666666664,70.875,0.16701581080090436,0.15976403646858192,0.12765151515151515,0.09356060606060605,0.14810606060606063,0.14242424242424243,0.14810606060606063,0.21174242424242423,0.20606060606060606,0.23446969696969697,0.3075757575757576,0.3037878787878788,41.77272727272727,76.9090909090909
openstack/ansible-role-nodepool,42,30,0.9523809523809523,0.9523809523809523,0.9404761904761905,0.9404761904761905,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,27.80952380952381,30.761904761904763,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,36.36666666666667,40.5
openstack/monasca-tempest-plugin,24,21,0.09044312169312169,0.06490650553150552,0.047619047619047616,0.01984126984126984,0.08234126984126983,0.05456349206349206,0.14831349206349206,0.0927579365079365,0.14831349206349206,0.12748015873015875,0.14831349206349206,0.14831349206349206,7.291666666666667,15.333333333333334,0.07955404383975812,0.050369339655053934,0.03854875283446712,0.006802721088435374,0.06235827664399092,0.03061224489795918,0.13775510204081634,0.07426303854875282,0.13775510204081634,0.11394557823129252,0.13775510204081634,0.13775510204081634,7.9523809523809526,17.142857142857142
openstack/ara,272,247,0.1075980392156863,0.10549172794117649,0.03615196078431372,0.03615196078431372,0.17488766339869283,0.14547589869281047,0.17978962418300656,0.18392565359477128,0.1814746732026144,0.19066584967320263,0.1819342320261438,0.19250408496732027,24.481617647058822,40.669117647058826,0.10229419703103916,0.09997469635627533,0.027665317139001347,0.027665317139001347,0.17234592892487632,0.139957264957265,0.17774403958614488,0.18229869545659022,0.17959964012595592,0.18972109761583447,0.18010571300044986,0.19174538911381017,26.194331983805668,44.020242914979754
openstack/patrole,419,369,0.21663791922741768,0.29141271715555706,0.1526322557050484,0.1745523602623844,0.24618360623730526,0.32123332779657354,0.28130691570429034,0.384604165391755,0.3004464012518903,0.45483042216335773,0.3062737679981115,0.4925889742715517,9.014319809069212,22.427207637231504,0.22668494859551744,0.3115918329637841,0.15469684260334693,0.1795871510302408,0.2595437045640296,0.3447627650879684,0.2994262700563514,0.41672043704564066,0.3211591818299135,0.4964624467673248,0.3277761646664085,0.5393373338495289,9.392953929539296,24.62330623306233
openstack/openstack-ansible-rabbitmq_server,168,145,0.18669573509603282,0.18263888888888904,0.07043650793650794,0.07638888888888891,0.20075113378684803,0.16503684807256236,0.25269274376417233,0.23150510204081634,0.3735827664399094,0.34148242630385495,0.4195719954648525,0.4433815192743764,13.863095238095237,17.797619047619047,0.20462371759785564,0.19992337164750967,0.07931034482758621,0.08620689655172414,0.22167487684729062,0.18029556650246303,0.2692118226600985,0.24466338259441703,0.4058292282430214,0.3686371100164204,0.45911330049261084,0.48669950738916257,15.558620689655172,20.117241379310343
openstack/vmware-nsx-tempest-plugin,34,33,0.4710084033613445,0.47006069094304387,0.31792717086834726,0.3042016806722689,0.5941876750700278,0.5843837535014005,0.608893557422969,0.6343837535014004,0.6441876750700279,0.6647759103641456,0.6539915966386554,0.6794817927170868,8.176470588235293,19.352941176470587,0.47012987012987006,0.46915343915343916,0.3275613275613275,0.3134199134199134,0.5818903318903317,0.5717893217893216,0.5970418470418468,0.6233044733044731,0.6334054834054833,0.6546176046176045,0.6435064935064934,0.6697691197691197,8.333333333333334,19.848484848484848
openstack/puppet-openstack-cookiecutter,36,19,0.2430886243386243,0.2681332170915504,0.125,0.15277777777777776,0.3009259259259259,0.3148148148148148,0.35185185185185186,0.3425925925925926,0.38425925925925924,0.39814814814814814,0.4259259259259259,0.4861111111111111,9.055555555555555,10.63888888888889,0.2149749373433584,0.26242784992784995,0.09649122807017543,0.14912280701754385,0.21929824561403505,0.24561403508771926,0.31578947368421045,0.2982456140350877,0.3771929824561403,0.40350877192982454,0.45614035087719296,0.5701754385964911,12.052631578947368,15.052631578947368
openstack/tripleo-quickstart-extras,575,549,0.10553709943150953,0.1329142736278357,0.0734170225909357,0.06929292929292931,0.11747017233973786,0.12691122886775083,0.13809471205123408,0.1678337314859056,0.14907333246463722,0.22267143001925627,0.15363645533210793,0.2712766315809799,8.022608695652174,27.443478260869565,0.10531018142909908,0.13405763380316787,0.07259742382693206,0.06827801827801827,0.11712276794244036,0.12727115527662003,0.13835976308653933,0.1698714865381535,0.14985831816432948,0.22694193582171748,0.15463754521131617,0.27784902306760273,8.123861566484518,28.46448087431694
