name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
openstack/puppet-keystone,4319,1212,698,388,250,182,7.068,3.44,111,14.342342342342342,6.171171171171171,4.1,2.512,7.774774774774775,4.198198198198198
openstack/python-glareclient,399,91,64,27,69,19,3.246376811594203,2.246376811594203,14,10.571428571428571,5.642857142857143,1.9855072463768115,1.7826086956521738,4.928571428571429,3.9285714285714284
openstack/bifrost,3381,1508,896,568,361,111,5.554016620498615,1.9861495844875345,196,9.290816326530612,2.7193877551020407,2.698060941828255,1.4930747922437673,4.096938775510204,1.8775510204081634
openstack/senlin-dashboard,1049,612,419,193,290,49,4.406896551724138,2.603448275862069,145,7.537931034482758,3.9310344827586206,1.9724137931034482,1.6206896551724137,2.8413793103448275,2.1379310344827585
openstack/watcher,4883,1642,939,703,684,161,6.321637426900585,2.1505847953216373,444,9.07882882882883,2.6531531531531534,3.723684210526316,1.7850877192982457,5.09009009009009,2.1036036036036037
openstack/puppet-sahara,713,305,238,67,119,62,4.882352941176471,3.7478991596638656,41,10.902439024390244,7.609756097560975,2.9159663865546217,2.5210084033613445,5.487804878048781,4.341463414634147
openstack/castellan,861,301,204,97,103,65,5.106796116504855,2.796116504854369,52,8.903846153846153,4.326923076923077,2.9805825242718447,1.766990291262136,4.730769230769231,2.326923076923077
openstack/mox3,199,131,106,17,29,31,7.586206896551724,6.724137931034483,10,16.5,14.0,3.0689655172413794,2.689655172413793,5.8,4.7
openstack/vmware-nsx-tempest-plugin,430,332,195,137,192,34,5.0625,2.59375,133,6.639097744360902,3.075187969924812,2.546875,1.5729166666666667,3.142857142857143,1.736842105263158
openstack/openstack-ansible-os_neutron,2233,771,540,231,173,99,6.965317919075145,4.468208092485549,91,12.043956043956044,7.2967032967032965,3.861271676300578,2.953757225433526,6.230769230769231,4.5054945054945055
